node_id,intervention,seed,total_conflicts,severe_conflicts
cluster_664446535_8507351665_8507351666,none,42,510,197
cluster_664446535_8507351665_8507351666,none,123,525,186
cluster_664446535_8507351665_8507351666,none,777,525,180
cluster_664446535_8507351665_8507351666,speed_breaker,42,510,192
cluster_664446535_8507351665_8507351666,speed_breaker,123,543,194
cluster_664446535_8507351665_8507351666,speed_breaker,777,500,193
cluster_664446535_8507351665_8507351666,signal_retiming,42,520,188
cluster_664446535_8507351665_8507351666,signal_retiming,123,532,191
cluster_664446535_8507351665_8507351666,signal_retiming,777,531,187
cluster_1186025344_13298747727_13298747728_13298747738_#3more,none,42,490,181
cluster_1186025344_13298747727_13298747728_13298747738_#3more,none,123,546,171
cluster_1186025344_13298747727_13298747728_13298747738_#3more,none,777,457,156
cluster_1186025344_13298747727_13298747728_13298747738_#3more,speed_breaker,42,489,186
cluster_1186025344_13298747727_13298747728_13298747738_#3more,speed_breaker,123,502,179
cluster_1186025344_13298747727_13298747728_13298747738_#3more,speed_breaker,777,496,177
cluster_1186025344_13298747727_13298747728_13298747738_#3more,signal_retiming,42,521,183
cluster_1186025344_13298747727_13298747728_13298747738_#3more,signal_retiming,123,533,186
cluster_1186025344_13298747727_13298747728_13298747738_#3more,signal_retiming,777,444,155
cluster_13298740740_664446558,none,42,503,161
cluster_13298740740_664446558,none,123,510,162
cluster_13298740740_664446558,none,777,483,171
cluster_13298740740_664446558,speed_breaker,42,501,185
cluster_13298740740_664446558,speed_breaker,123,497,181
cluster_13298740740_664446558,speed_breaker,777,495,176
cluster_13298740740_664446558,signal_retiming,42,503,161
cluster_13298740740_664446558,signal_retiming,123,510,162
cluster_13298740740_664446558,signal_retiming,777,483,171
cluster_1177212073_13300645524_664471560,none,42,468,162
cluster_1177212073_13300645524_664471560,none,123,465,171
cluster_1177212073_13300645524_664471560,none,777,530,184
cluster_1177212073_13300645524_664471560,speed_breaker,42,491,185
cluster_1177212073_13300645524_664471560,speed_breaker,123,469,172
cluster_1177212073_13300645524_664471560,speed_breaker,777,494,167
cluster_1177212073_13300645524_664471560,signal_retiming,42,460,161
cluster_1177212073_13300645524_664471560,signal_retiming,123,433,140
cluster_1177212073_13300645524_664471560,signal_retiming,777,470,135
cluster_1177211838_13300645525_13300645528,none,42,465,165
cluster_1177211838_13300645525_13300645528,none,123,499,179
cluster_1177211838_13300645525_13300645528,none,777,571,193
cluster_1177211838_13300645525_13300645528,speed_breaker,42,515,186
cluster_1177211838_13300645525_13300645528,speed_breaker,123,536,184
cluster_1177211838_13300645525_13300645528,speed_breaker,777,571,193
cluster_1177211838_13300645525_13300645528,signal_retiming,42,464,177
cluster_1177211838_13300645525_13300645528,signal_retiming,123,501,193
cluster_1177211838_13300645525_13300645528,signal_retiming,777,502,177
cluster_10281958925_10281958926_6508834064_6508834065_#1more,none,42,261,80
cluster_10281958925_10281958926_6508834064_6508834065_#1more,none,123,299,90
