node_id,distance_to_node,time,ego_id,foe_id,min_ttc,max_drac,pet
cluster_10917990606_663844223,5.891883475210951e-05,10.0,18,15,1.48,5.35,
13300645527,5.2912928823863096e-05,15.5,26,17,2.65,0.23,
13300645527,5.2912928823863096e-05,15.5,17,26,2.65,0.23,
13300645527,5.685941973287596e-05,18.0,17,28,2.33,2.41,
13300645527,5.685941973287596e-05,18.0,28,17,2.33,2.41,
13300645527,2.0656763855809276e-05,18.0,28,26,1.4,2.83,
13300645527,1.9554826036158026e-05,22.5,26,28,1.72,0.88,
cluster_10560867453_663943486,0.00010543338366181088,46.5,33,68,1.82,2.88,0.96
cluster_1177212073_13300645524_664471560,0.00013414391658935341,43.5,73,55,1.77,2.0,
1177161219,8.3571208400612e-05,54.0,46,32,2.4,3.11,
cluster_10560867453_663943486,0.00010543338366181088,46.5,68,33,1.82,2.88,0.96
cluster_1177211838_13300645525_13300645528,7.136593765422001e-05,10.5,15,11,2.76,1.76,
1177161219,5.401643628672777e-05,48.5,32,30,2.48,0.84,
1177161219,8.3571208400612e-05,54.0,32,46,2.4,3.11,
cluster_1177211838_13300645525_13300645528,7.136593765422001e-05,10.5,11,15,2.76,1.76,
1177161219,5.401643628672777e-05,48.5,30,32,2.48,0.84,
cluster_1177211353_1177211711,0.00019658982548097025,45.0,17,28,2.77,1.95,
13300645527,3.237757410457488e-05,25.5,28,40,1.92,2.44,
cluster_1177211353_1177211711,0.00019658982548097025,45.0,28,17,2.77,1.95,
13300645527,3.237757410457488e-05,25.5,40,28,1.92,2.44,
13300645527,6.346572709315531e-05,50.5,34,55,1.87,3.71,
cluster_11158897100_11158897101_11158897102_664471748_#1more,0.0002614506859606199,65.0,69,57,1.02,3.35,
cluster_10560867453_663943486,0.00018213333835517907,56.5,54,95,1.34,1.63,
13300645527,3.8147243780216634e-05,55.5,34,73,1.26,1.97,
cluster_10560867453_663943486,0.0001327605893672955,63.0,101,95,1.78,3.08,
13300645527,3.8147243780216634e-05,58.0,73,34,1.26,1.97,
cluster_11158897100_11158897101_11158897102_664471748_#1more,0.0002614506859606199,65.0,57,69,1.02,3.35,
cluster_10281958932_663804338,9.694282967108737e-05,72.0,109,29,3.47,3.33,3.16
cluster_10917990606_663844223,0.00015373908241920358,2.5,2,0,2.2,2.15,
cluster_10560867453_663943486,0.00018213333835517907,56.5,95,54,1.34,1.63,
cluster_10560867453_663943486,0.0001327605893672955,63.0,95,101,1.78,3.08,
cluster_10281958932_663804338,9.694282967108737e-05,72.0,29,109,3.47,3.33,3.16
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.0002106550814801728,71.5,67,10,1.79,2.45,
1177161219,7.75437669356153e-06,72.5,14,51,1.99,1.26,1.3
1177161219,7.75437669356153e-06,72.5,51,14,1.99,1.26,1.3
cluster_11158897100_11158897101_11158897102_664471748_#1more,0.0002614506859606199,76.0,94,69,1.16,2.95,
cluster_1177212073_13300645524_664471560,0.00013414391658935341,72.0,122,110,1.94,2.68,
cluster_1177211353_1177211711,7.783659425637149e-05,89.0,139,34,0.64,3.8,1.57
cluster_13298740740_664446558,6.527502140239539e-05,56.5,35,65,2.1,2.24,
cluster_13298740740_664446558,6.527502140239539e-05,56.5,65,35,2.1,2.24,
cluster_10917990606_663844223,6.008882388185018e-05,89.5,77,45,2.16,3.26,
cluster_11158897100_11158897101_11158897102_664471748_#1more,0.0002614506859606199,76.0,69,94,1.16,2.95,
1177160399,7.786277939573642e-05,54.0,62,84,1.27,1.94,
1177160399,6.938305102765993e-05,90.0,126,85,2.1,2.3,
1177160599,1.2732890240414851e-05,94.0,120,145,,2.25,1.76
1177160599,1.2732890240414851e-05,94.0,145,120,,2.25,1.76
664446557,5.25888510091186e-05,93.0,43,117,2.03,2.4,
1177160399,7.786277939573642e-05,54.0,84,62,1.27,1.94,
664446557,5.25888510091186e-05,93.0,117,43,2.03,2.4,
1174832855,4.0322916104895175e-05,98.0,164,159,,1.81,1.27
1177160403,9.440524066049858e-05,91.0,9,46,1.84,4.06,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00021310818610705747,95.5,76,135,2.66,1.79,
1177161219,5.324993540900527e-06,101.0,15,41,1.89,2.31,3.94
6544715978,2.025173250141523e-05,101.0,121,150,1.02,5.08,1.3
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00021310818610705747,95.5,135,76,2.66,1.79,
1177160403,9.440524066049858e-05,91.0,46,9,1.84,4.06,
cluster_10917990606_663844223,0.00015373908241920358,1.5,0,1,1.03,2.55,
cluster_10917990606_663844223,0.00015373908241920358,2.5,0,2,2.2,2.15,
cluster_10917990606_663844223,0.00015373908241920358,1.5,1,0,1.03,2.55,
1177161219,3.682406587838244e-06,101.0,15,84,5.09,3.54,1.37
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.0002336252658530999,61.5,48,12,2.35,2.08,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00016461953327982282,74.5,99,112,1.07,2.07,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00013068577469212077,98.0,99,67,2.1,2.2,
cluster_11158897100_11158897101_11158897102_664471748_#1more,0.0002668010789563163,93.0,114,94,1.15,2.85,
6544715978,2.025173250141523e-05,101.0,150,121,1.02,5.08,1.3
11843639551,4.537969609069706e-05,101.5,39,1,1.18,4.36,1.74
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.0002943563565568203,63.0,48,16,1.36,2.6,
cluster_11158897100_11158897101_11158897102_664471748_#1more,0.0002668010789563163,93.0,94,114,1.15,2.85,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00019725959096935934,6.0,12,7,1.21,2.24,
cluster_11158897100_11158897101_11158897102_664471748_#1more,0.00030703517963717356,101.5,114,140,1.36,3.01,
1174832855,8.704322774999035e-05,100.5,166,159,1.86,0.75,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00013068577469212077,95.0,67,112,1.17,2.93,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00013068577469212077,98.0,67,99,2.1,2.2,
1177161022,0.00031330295407590455,88.0,138,70,1.27,2.83,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.0003314028430226389,88.5,138,48,2.42,2.11,
1174832855,4.0322916104895175e-05,98.0,159,164,,1.81,1.27
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00016461953327982282,74.5,112,99,1.07,2.07,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00013068577469212077,95.0,112,67,1.17,2.93,
cluster_10560867453_663943486,0.0001327605893672955,103.5,158,168,2.7,1.18,
cluster_10560867453_663943486,0.0001327605893672955,103.5,168,158,2.7,1.18,
1177160399,6.938305102765993e-05,67.5,84,41,2.38,2.0,
1177161219,3.682406587838244e-06,101.0,84,15,5.09,3.54,1.37
1177212077,0.00017493048442223646,2.5,2,1,1.45,1.84,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00029360536708060073,89.0,138,16,2.85,1.82,
1177212077,0.00017493048442223646,2.5,1,2,1.45,1.84,
1177161483,0.00011063106124423098,64.0,70,48,1.4,3.25,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00029360536708060073,64.5,70,16,2.74,1.96,
1174832855,8.704322774999035e-05,100.5,159,166,1.86,0.75,
11843639551,4.537969609069706e-05,101.5,1,39,1.18,4.36,1.74
cluster_1177211353_1177211711,0.0001133447619789012,59.0,34,50,1.35,3.3,
cluster_1177211353_1177211711,7.783659425637149e-05,87.5,34,139,0.64,3.8,1.57
cluster_1177211353_1177211711,0.0001133447619789012,59.0,50,34,1.35,3.3,
cluster_11158897100_11158897101_11158897102_664471748_#1more,0.00033385993880143664,106.5,59,140,1.86,2.07,
1177161022,0.00031330295407590455,88.0,70,138,1.27,2.83,
1177161022,0.00031330295407590455,100.5,70,35,1.92,2.95,
cluster_11158897100_11158897101_11158897102_664471748_#1more,0.00033385993880143664,100.0,140,59,1.86,2.07,
cluster_11158897100_11158897101_11158897102_664471748_#1more,0.00030703517963717356,101.5,140,114,1.36,3.01,
1177160403,5.160697091599688e-05,105.0,142,20,2.25,2.39,
1177211334,0.00012533091285834308,92.0,149,2,2.94,0.6,
1177161219,9.40477729396916e-06,114.5,18,90,,3.15,
1177160403,5.160697091599688e-05,105.0,20,142,2.25,2.39,
1177211334,0.00012533091285834308,92.0,2,149,2.94,0.6,
cluster_10279701142_664471710,9.771177239537115e-05,116.5,195,1,0.25,4.73,
