node_id,lat,lon,total_conflicts_office,severe_conflicts_office,total_conflicts_noon,severe_conflicts_noon,total_conflicts_evening,severe_conflicts_evening,total_conflicts_midnight,severe_conflicts_midnight
1174832834,22.57121595357121,88.353192709397,0,0,32.0,16.0,0,0,0.0,0.0
1186025302,22.571315668711904,88.35259186993966,0,0,0.0,0.0,0,0,0.0,0.0
1174832972,22.57520528214189,88.35355582072634,0,0,0.0,0.0,0,0,0.0,0.0
cluster_1189036595_13298747741,22.57509688724045,88.35397501153209,0,0,65.0,32.0,0,0,2.0,2.0
1174833090,22.57530296815583,88.35314255462443,0,0,0.0,0.0,0,0,0.0,0.0
1174832534,22.574811689086847,88.35299488662051,0,0,0.0,0.0,0,0,0.0,0.0
1186025330,22.574232397124288,88.3528090139375,0,0,32.0,14.0,0,0,6.0,6.0
1186025292,22.57561388873909,88.3532242722462,0,0,10.0,2.0,0,0,0.0,0.0
1189036707,22.576047534864216,88.35332994722307,0,0,0.0,0.0,0,0,0.0,0.0
1189036484,22.576503068370783,88.35345353775631,0,0,0.0,0.0,0,0,0.0,0.0
1174832895,22.57702815529232,88.35359784393474,0,0,40.0,6.0,0,0,2.0,0.0
1174833147,22.575771377001804,88.35252010631395,0,0,4.0,2.0,0,0,0.0,0.0
1174832527,22.574453714222475,88.3520865120077,0,0,4.0,0.0,0,0,0.0,0.0
1174833066,22.577225808992544,88.35297225979502,0,0,4.0,0.0,0,0,0.0,0.0
1174832855,22.57527073886645,88.35100471141466,0,0,6.0,2.0,0,0,0.0,0.0
1189036766,22.57525481072833,88.35054647250432,0,0,0.0,0.0,0,0,0.0,0.0
1186025321,22.57527808094064,88.35125940358947,0,0,0.0,0.0,0,0,0.0,0.0
1174832816,22.575223984383424,88.35153790824157,0,0,0.0,0.0,0,0,0.0,0.0
cluster_1174832725_13298747729_13298747740,22.57459216211288,88.35382604243047,0,0,39.0,12.0,0,0,0.0,0.0
6544715978,22.576007174638097,88.35191211283642,0,0,2.0,0.0,0,0,0.0,0.0
1174832779,22.57364001264108,88.35195719720488,0,0,0.0,0.0,0,0,0.0,0.0
1174832885,22.573206196786337,88.35190375367436,0,0,0.0,0.0,0,0,0.0,0.0
11242908390,22.574014572267743,88.35166771923218,0,0,0.0,0.0,0,0,0.0,0.0
1174832811,22.57411775338424,88.35127707224575,0,0,0.0,0.0,0,0,0.0,0.0
11282915069,22.57098095244272,88.35118356585816,0,0,72.0,16.0,0,0,0.0,0.0
cluster_1186025344_13298747727_13298747728_13298747738_#3more,22.57220210547858,88.35292185263569,0,0,898.0,292.0,0,0,26.0,20.0
1174832997,22.571012736839275,88.35105569403272,0,0,103.0,22.0,0,0,4.0,0.0
1174832716,22.575026406801143,88.35000680147233,0,0,14.0,2.0,0,0,0.0,0.0
1174833041,22.57405203463021,88.34976836701316,0,0,0.0,0.0,0,0,0.0,0.0
1176977352,22.57779804304741,88.35957883597573,0,0,0.0,0.0,0,0,0.0,0.0
cluster_1176977581_1176977943,22.57702983565986,88.35934701984806,0,0,0.0,0.0,0,0,0.0,0.0
1189036795,22.57592780259925,88.35994757217253,0,0,8.0,6.0,0,0,0.0,0.0
1191863915,22.575835411486786,88.36058681633969,0,0,2.0,2.0,0,0,0.0,0.0
1189036489,22.576845651791903,88.35865516355285,0,0,0.0,0.0,0,0,0.0,0.0
1176977453,22.57730444396693,88.35690705653937,0,0,4.0,0.0,0,0,2.0,0.0
1176978389,22.57668172895104,88.35677277190399,0,0,10.0,4.0,0,0,0.0,0.0
12123661005,22.574354069379183,88.35615097726945,0,0,0.0,0.0,0,0,0.0,0.0
1177160664,22.57409250867504,88.35606419340814,0,0,0.0,0.0,0,0,0.0,0.0
1189036574,22.57483353856089,88.35629562245266,0,0,0.0,0.0,0,0,0.0,0.0
1177161047,22.570004087059303,88.35670934588626,0,0,3.0,0.0,0,0,0.0,0.0
1177161432,22.57095775955296,88.3564989825272,0,0,28.0,12.0,0,0,0.0,0.0
cluster_10943484228_1190100465,22.567427130487207,88.3499297722738,0,0,4.0,0.0,0,0,0.0,0.0
1177160399,22.56788153323447,88.35007015611401,0,0,146.0,54.0,0,0,10.0,6.0
1177160675,22.56709324130088,88.34977568324467,0,0,0.0,0.0,0,0,0.0,0.0
