node_id,intervention,seed,total_conflicts,severe_conflicts
cluster_664446535_8507351665_8507351666,none,42,2364,831
cluster_664446535_8507351665_8507351666,none,123,2429,755
cluster_664446535_8507351665_8507351666,none,777,2430,808
cluster_664446535_8507351665_8507351666,speed_breaker,42,2523,906
cluster_664446535_8507351665_8507351666,speed_breaker,123,2491,783
cluster_664446535_8507351665_8507351666,speed_breaker,777,2464,849
cluster_1186025344_13298747727_13298747728_13298747738_#3more,none,42,3486,1140
cluster_1186025344_13298747727_13298747728_13298747738_#3more,none,123,3155,977
cluster_1186025344_13298747727_13298747728_13298747738_#3more,none,777,3147,1035
cluster_1186025344_13298747727_13298747728_13298747738_#3more,speed_breaker,42,3221,1025
cluster_1186025344_13298747727_13298747728_13298747738_#3more,speed_breaker,123,3075,1034
cluster_1186025344_13298747727_13298747728_13298747738_#3more,speed_breaker,777,2997,966
cluster_13298740740_664446558,none,42,2544,796
cluster_13298740740_664446558,none,123,2740,930
cluster_13298740740_664446558,none,777,2605,907
cluster_13298740740_664446558,speed_breaker,42,2604,891
cluster_13298740740_664446558,speed_breaker,123,2634,901
cluster_13298740740_664446558,speed_breaker,777,2472,839
cluster_1177212073_13300645524_664471560,none,42,3213,970
cluster_1177212073_13300645524_664471560,none,123,3292,1060
cluster_1177212073_13300645524_664471560,none,777,3390,1093
cluster_1177212073_13300645524_664471560,speed_breaker,42,3311,1042
cluster_1177212073_13300645524_664471560,speed_breaker,123,3296,996
cluster_1177212073_13300645524_664471560,speed_breaker,777,3393,1052
cluster_1177211838_13300645525_13300645528,none,42,3348,1065
cluster_1177211838_13300645525_13300645528,none,123,3418,1146
cluster_1177211838_13300645525_13300645528,none,777,3116,972
cluster_1177211838_13300645525_13300645528,speed_breaker,42,3299,1107
cluster_1177211838_13300645525_13300645528,speed_breaker,123,3249,1051
cluster_1177211838_13300645525_13300645528,speed_breaker,777,3154,981
cluster_10281958925_10281958926_6508834064_6508834065_#1more,none,42,1643,550
cluster_10281958925_10281958926_6508834064_6508834065_#1more,none,123,1538,480
cluster_10281958925_10281958926_6508834064_6508834065_#1more,none,777,1643,483
cluster_10281958925_10281958926_6508834064_6508834065_#1more,speed_breaker,42,1766,586
cluster_10281958925_10281958926_6508834064_6508834065_#1more,speed_breaker,123,1526,464
cluster_10281958925_10281958926_6508834064_6508834065_#1more,speed_breaker,777,1603,511
cluster_1177211304_1177211692,none,42,3496,1102
cluster_1177211304_1177211692,none,123,3196,1008
cluster_1177211304_1177211692,none,777,3424,1112
cluster_1177211304_1177211692,speed_breaker,42,3229,1018
cluster_1177211304_1177211692,speed_breaker,123,3651,1192
cluster_1177211304_1177211692,speed_breaker,777,3365,1092
cluster_10279701142_664471710,none,42,1101,326
cluster_10279701142_664471710,none,123,1192,357
cluster_10279701142_664471710,none,777,1147,308
cluster_10279701142_664471710,speed_breaker,42,1212,326
cluster_10279701142_664471710,speed_breaker,123,1178,347
cluster_10279701142_664471710,speed_breaker,777,1133,350
1177160864,none,42,1164,301
1177160864,none,123,1223,345
1177160864,none,777,1241,361
1177160864,speed_breaker,42,1160,303
1177160864,speed_breaker,123,1193,319
1177160864,speed_breaker,777,1170,357
cluster_11944729366_664471711,none,42,1380,489
cluster_11944729366_664471711,none,123,1245,373
cluster_11944729366_664471711,none,777,1246,367
cluster_11944729366_664471711,speed_breaker,42,1317,416
cluster_11944729366_664471711,speed_breaker,123,1257,402
cluster_11944729366_664471711,speed_breaker,777,1337,374
cluster_11158897100_11158897101_11158897102_664471748_#1more,none,42,1164,345
cluster_11158897100_11158897101_11158897102_664471748_#1more,none,123,1157,315
cluster_11158897100_11158897101_11158897102_664471748_#1more,none,777,1172,362
cluster_11158897100_11158897101_11158897102_664471748_#1more,speed_breaker,42,1180,293
cluster_11158897100_11158897101_11158897102_664471748_#1more,speed_breaker,123,1172,343
cluster_11158897100_11158897101_11158897102_664471748_#1more,speed_breaker,777,1302,414
cluster_10279761592_11942000229_11942000233_663943274,none,42,2345,639
cluster_10279761592_11942000229_11942000233_663943274,none,123,2122,659
cluster_10279761592_11942000229_11942000233_663943274,none,777,2340,648
cluster_10279761592_11942000229_11942000233_663943274,speed_breaker,42,2350,615
cluster_10279761592_11942000229_11942000233_663943274,speed_breaker,123,2264,673
cluster_10279761592_11942000229_11942000233_663943274,speed_breaker,777,2320,669
664472699,none,42,1143,318
664472699,none,123,1092,290
664472699,none,777,1143,303
664472699,speed_breaker,42,1139,292
664472699,speed_breaker,123,1020,260
664472699,speed_breaker,777,1185,316
1177212157,none,42,3146,1032
1177212157,none,123,3076,1009
1177212157,none,777,3039,992
1177212157,speed_breaker,42,2972,969
1177212157,speed_breaker,123,3190,1001
1177212157,speed_breaker,777,3145,1008
13300645527,none,42,3180,1092
13300645527,none,123,3218,1104
13300645527,none,777,3365,1125
13300645527,speed_breaker,42,3051,1032
13300645527,speed_breaker,123,3218,1104
13300645527,speed_breaker,777,3423,1112
cluster_664446535_8507351665_8507351666,signal_retiming,42,2713,909
cluster_664446535_8507351665_8507351666,signal_retiming,123,2566,821
cluster_664446535_8507351665_8507351666,signal_retiming,777,2527,829
cluster_1186025344_13298747727_13298747728_13298747738_#3more,signal_retiming,42,3032,1019
cluster_1186025344_13298747727_13298747728_13298747738_#3more,signal_retiming,123,3366,1148
cluster_1186025344_13298747727_13298747728_13298747738_#3more,signal_retiming,777,2976,987
cluster_13298740740_664446558,signal_retiming,42,2544,796
cluster_13298740740_664446558,signal_retiming,123,2740,930
cluster_13298740740_664446558,signal_retiming,777,2605,907
cluster_1177212073_13300645524_664471560,signal_retiming,42,3282,1060
cluster_1177212073_13300645524_664471560,signal_retiming,123,3183,949
cluster_1177212073_13300645524_664471560,signal_retiming,777,3556,1137
cluster_1177211838_13300645525_13300645528,signal_retiming,42,3381,1068
cluster_1177211838_13300645525_13300645528,signal_retiming,123,3681,1252
cluster_1177211838_13300645525_13300645528,signal_retiming,777,2934,934
cluster_10281958925_10281958926_6508834064_6508834065_#1more,add_signal,42,1844,560
cluster_10281958925_10281958926_6508834064_6508834065_#1more,add_signal,123,1853,626
cluster_10281958925_10281958926_6508834064_6508834065_#1more,add_signal,777,1810,606
cluster_1177211304_1177211692,add_signal,42,3281,1071
cluster_1177211304_1177211692,add_signal,123,3354,1075
cluster_1177211304_1177211692,add_signal,777,3292,1092
cluster_10279701142_664471710,add_signal,42,1381,462
cluster_10279701142_664471710,add_signal,123,1405,432
cluster_10279701142_664471710,add_signal,777,1373,459
1177160864,add_signal,42,1371,407
1177160864,add_signal,123,1295,371
1177160864,add_signal,777,1367,404
cluster_11944729366_664471711,add_signal,42,1547,510
cluster_11944729366_664471711,add_signal,123,1400,426
cluster_11944729366_664471711,add_signal,777,1434,484
cluster_11158897100_11158897101_11158897102_664471748_#1more,add_signal,42,1306,402
cluster_11158897100_11158897101_11158897102_664471748_#1more,add_signal,123,1328,421
cluster_11158897100_11158897101_11158897102_664471748_#1more,add_signal,777,1387,400
cluster_10279761592_11942000229_11942000233_663943274,add_signal,42,2176,628
cluster_10279761592_11942000229_11942000233_663943274,add_signal,123,2055,581
cluster_10279761592_11942000229_11942000233_663943274,add_signal,777,2278,643
664472699,add_signal,42,1157,338
664472699,add_signal,123,1099,306
664472699,add_signal,777,1240,341
1177212157,add_signal,42,3114,1024
1177212157,add_signal,123,3148,1083
1177212157,add_signal,777,3098,1003
