window_start,window_end,lane_id,edge_id,vehicle_count,mean_speed_ms,max_speed_observed_ms,halting_count,occupancy_pct,speed_limit_ms,mean_gap_m,min_gap_m,mean_rel_velocity_ms,mean_time_gap_s,min_time_gap_s,mean_acceleration_ms2,min_acceleration_ms2,hard_brake_count
0,60.0,-101757288#0_0,-101757288#0,1,12.66,12.66,0,0.01,13.89,,,,,,2.22,0.91,0
0,60.0,-101757302#1_0,-101757302#1,1,14.4,14.4,0,0.12,13.89,,,,,,0.51,0.0,0
0,60.0,-101966385#0_0,-101966385#0,0,13.89,14.16,0,0.0,13.89,41.31,35.61,-0.23,4.43,3.0,-1.03,-5.0,16
0,60.0,-101966385#2_0,-101966385#2,0,13.89,13.07,0,0.0,13.89,43.06,31.74,-1.29,5.25,2.8,-2.39,-5.0,15
0,60.0,-101966385#3_0,-101966385#3,0,13.89,12.02,0,0.0,13.89,52.34,52.34,1.41,4.36,4.36,0.06,-1.17,0
0,60.0,-101966385#4_0,-101966385#4,1,8.15,16.25,0,0.09,13.89,,,,,,0.94,-2.22,0
0,60.0,-101966385#5_0,-101966385#5,0,13.89,12.82,0,0.0,13.89,59.46,32.57,2.45,6.37,2.8,0.99,-0.65,0
0,60.0,-101966443#10_0,-101966443#10,0,22.22,17.07,0,0.0,22.22,43.46,14.78,-0.79,3.2,1.1,-0.16,-1.38,0
0,60.0,-101966443#11_0,-101966443#11,0,22.22,17.47,0,0.0,22.22,38.2,14.73,-0.24,2.76,1.06,-0.08,-1.96,0
0,60.0,-101966443#12_0,-101966443#12,0,22.22,17.76,0,0.0,22.22,39.5,14.74,0.1,2.81,1.05,0.46,-0.43,0
0,60.0,-101966443#13_0,-101966443#13,0,22.22,16.9,0,0.0,22.22,37.34,12.45,-1.75,3.0,1.03,0.97,-1.12,0
0,60.0,-101966443#6_0,-101966443#6,2,8.51,17.28,0,0.16,22.22,32.6,9.76,2.0,3.19,1.02,-2.15,-5.0,10
0,60.0,-101966443#7_0,-101966443#7,2,13.56,17.78,0,0.12,22.22,43.56,14.4,3.74,3.03,1.04,-0.03,-3.1,1
0,60.0,-101966443#8_0,-101966443#8,0,22.22,17.43,0,0.0,22.22,42.14,14.6,1.27,3.08,1.08,-0.06,-1.73,0
0,60.0,-101966443#9_0,-101966443#9,0,22.22,17.31,0,0.0,22.22,39.43,14.7,-0.2,2.88,1.06,-0.01,-1.04,0
0,60.0,-101966453#0_0,-101966453#0,1,6.32,12.8,0,0.04,13.89,,,,,,-1.44,-4.72,2
0,60.0,-101966461_0,-101966461,0,13.89,13.61,0,0.0,13.89,24.65,9.45,0.63,3.27,1.07,-0.56,-5.0,9
0,60.0,-101972876#0_0,-101972876#0,0,13.89,14.91,0,0.0,13.89,67.4,33.53,12.77,5.2,3.27,-0.71,-5.0,4
0,60.0,-101972898#0_0,-101972898#0,0,13.89,13.89,0,0.0,13.89,76.3,67.72,4.07,9.39,5.47,-2.37,-5.0,13
0,60.0,-101972898#1_0,-101972898#1,0,13.89,13.89,0,0.0,13.89,93.48,92.09,2.49,6.84,6.81,-0.33,-0.87,0
0,60.0,-101972898#2_0,-101972898#2,1,6.76,10.1,0,0.18,13.89,,,,,,1.12,-0.23,0
0,60.0,-101972912#0_0,-101972912#0,0,13.89,14.07,0,0.0,13.89,31.63,9.54,0.71,3.45,1.03,-0.57,-5.0,18
0,60.0,-101972912#1_0,-101972912#1,0,13.89,7.41,0,0.0,13.89,38.87,10.12,-3.91,6.68,1.61,1.02,-1.15,0
0,60.0,-101972952#0_0,-101972952#0,0,13.89,10.51,0,0.0,13.89,74.47,74.47,4.99,14.92,14.92,-2.37,-5.0,3
0,60.0,-101972955#0_0,-101972955#0,4,0.21,10.5,3,0.31,13.89,10.37,0.0,-1.02,1.23,0.53,-0.43,-5.0,8
0,60.0,-101972955#1_0,-101972955#1,0,13.89,12.03,0,0.13,13.89,37.08,33.52,8.1,3.82,3.4,-2.12,-5.0,2
0,60.0,-101972955#3_0,-101972955#3,0,13.89,13.89,0,0.0,13.89,61.33,53.01,4.69,5.59,4.33,-2.15,-4.22,3
0,60.0,-101972960#0_0,-101972960#0,0,13.89,14.19,0,0.0,13.89,45.08,21.9,2.84,3.64,1.68,0.6,-2.14,0
0,60.0,-101972960#1_0,-101972960#1,0,13.89,10.19,0,0.0,13.89,46.34,15.37,-2.95,5.19,1.83,1.05,-0.44,0
0,60.0,-102688627#2_0,-102688627#2,1,10.55,11.16,0,0.15,11.11,,,,,,-0.24,-1.22,0
0,60.0,-102688627#3_0,-102688627#3,0,11.11,11.2,0,0.0,11.11,,,,,,0.02,-1.07,0
0,60.0,-102688627#4_0,-102688627#4,0,11.11,11.14,0,0.0,11.11,,,,,,-0.01,-0.63,0
0,60.0,-102688627#5_0,-102688627#5,0,11.11,11.08,0,0.0,11.11,,,,,,0.02,-0.69,0
0,60.0,-102961695_0,-102961695,0,13.89,14.88,0,0.0,13.89,11.19,7.42,0.87,1.23,0.95,-1.17,-5.0,7
0,60.0,-103050337_0,-103050337,0,13.89,14.12,0,0.0,13.89,24.38,13.4,0.9,2.31,1.39,-0.38,-4.91,8
0,60.0,-103082314#4_0,-103082314#4,2,10.69,11.22,0,0.01,11.11,196.49,67.88,1.8,18.6,6.68,0.02,-1.79,0
0,60.0,-103082316_0,-103082316,1,0.0,13.63,1,0.03,13.89,18.37,10.7,-7.17,50.42,50.42,-0.82,-5.0,5
0,60.0,-103082325#1_0,-103082325#1,0,13.89,9.99,0,0.0,13.89,27.34,22.62,0.59,3.65,2.43,0.45,-4.05,2
0,60.0,-103082326#0_0,-103082326#0,1,11.54,15.4,0,0.04,13.89,61.07,57.94,2.81,4.58,4.28,-1.2,-5.0,5
0,60.0,-104043544#4_0,-104043544#4,1,10.93,17.8,0,0.05,22.22,29.81,12.02,6.23,2.22,1.0,-1.26,-5.0,6
0,60.0,-104043544#5_0,-104043544#5,0,22.22,17.4,0,0.0,22.22,47.82,14.51,5.71,3.55,1.06,0.15,-0.95,0
0,60.0,-104043544#6_0,-104043544#6,0,22.22,16.87,0,0.0,22.22,58.26,14.0,3.57,4.28,1.03,0.69,-0.92,0
0,60.0,-104043544#7_0,-104043544#7,0,22.22,15.59,0,0.0,22.22,54.91,12.0,-2.33,4.96,1.08,1.35,-0.01,0
0,60.0,-104043544#8_0,-104043544#8,0,22.22,10.42,0,0.0,22.22,51.38,8.49,-6.08,7.33,1.17,1.48,-0.07,0
0,60.0,-1087118361#11_0,-1087118361#11,1,3.87,10.31,0,0.09,27.78,,,,,,1.51,0.48,0
0,60.0,-1087118361#3_0,-1087118361#3,0,27.78,7.71,0,0.0,27.78,52.6,52.6,-10.48,18.49,18.49,0.41,-1.42,0
0,60.0,-1087118361#4_0,-1087118361#4,0,27.78,10.89,0,0.0,27.78,5.97,0.5,2.42,1.2,0.18,-1.36,-4.54,2
0,60.0,-1087118361#5_0,-1087118361#5,1,14.57,17.91,0,0.05,27.78,35.83,17.4,12.37,2.48,1.68,-0.84,-3.15,4
0,60.0,-1087118361#6_0,-1087118361#6,0,27.78,18.0,0,0.0,27.78,66.72,66.11,11.58,4.17,3.67,0.0,0.0,0
0,60.0,-1087118361#8_0,-1087118361#8,0,27.78,17.5,0,0.0,27.78,80.15,73.52,-5.99,9.18,8.51,0.97,-0.8,0
0,60.0,-1087118361#9_0,-1087118361#9,0,27.78,15.07,0,0.0,27.78,45.17,36.29,-11.99,8.84,8.1,2.36,1.69,0
0,60.0,-1124382853#5_0,-1124382853#5,0,27.78,12.24,0,0.0,27.78,,,,,,-2.51,-4.81,6
0,60.0,-1147855373#0_0,-1147855373#0,0,13.89,7.8,0,0.0,13.89,,,,,,0.17,-2.48,0
0,60.0,-1198952555#0_0,-1198952555#0,0,11.11,10.75,0,0.0,11.11,84.86,11.57,-0.36,9.32,1.12,0.83,-0.31,0
0,60.0,-1199688354_0,-1199688354,0,13.89,13.64,0,0.0,13.89,,,,,,-2.39,-5.0,4
0,60.0,-1226393093_0,-1226393093,0,13.89,15.03,0,0.0,13.89,,,,,,-1.39,-5.0,8
0,60.0,-1342408879_0,-1342408879,0,13.89,14.34,0,0.0,13.89,11.42,10.46,-1.29,0.93,0.84,-0.09,-1.32,0
0,60.0,-52097266#2_0,-52097266#2,0,11.11,9.21,0,0.0,11.11,,,,,,-0.54,-3.65,1
0,60.0,-52152323#0_0,-52152323#0,0,11.11,11.66,0,0.05,11.11,,,,,,-1.69,-5.0,2
0,60.0,-52152323#2_0,-52152323#2,0,11.11,11.71,0,0.0,11.11,,,,,,-0.0,-1.49,0
0,60.0,-52152323#3_0,-52152323#3,0,11.11,12.16,0,0.0,11.11,,,,,,-0.02,-1.53,0
0,60.0,-52152323#4_0,-52152323#4,0,11.11,12.07,0,0.0,11.11,,,,,,-0.15,-1.9,0
0,60.0,-52152323#5_0,-52152323#5,0,11.11,11.69,0,0.0,11.11,,,,,,-0.25,-1.22,0
0,60.0,-52152323#6_0,-52152323#6,1,6.85,10.38,0,0.1,11.11,,,,,,1.08,-2.16,0
0,60.0,-52152369#1_0,-52152369#1,0,13.89,13.56,0,0.0,13.89,20.55,1.04,-0.35,2.22,0.14,-0.1,-5.0,8
0,60.0,-52155737#0_0,-52155737#0,0,13.89,14.0,0,0.0,13.89,100.82,100.82,-9.57,47.69,47.69,-2.36,-5.0,5
0,60.0,-52155750#0_0,-52155750#0,0,13.89,11.35,0,0.0,13.89,17.42,15.4,-0.18,2.16,1.6,-2.12,-4.9,6
0,60.0,-52155750#1_0,-52155750#1,0,13.89,12.16,0,0.0,13.89,25.17,17.04,-1.16,2.66,2.06,1.13,-2.22,0
0,60.0,-995139946_0,-995139946,0,2.78,2.92,0,0.07,2.78,14.53,2.13,0.25,6.55,0.96,-0.01,-1.89,0
0,60.0,101757302#1_0,101757302#1,0,13.89,10.84,0,0.0,13.89,,,,,,0.85,-2.28,0
0,60.0,101757302#2_0,101757302#2,0,13.89,11.92,0,0.0,13.89,,,,,,-3.28,-5.0,3
0,60.0,101757306#0_0,101757306#0,0,13.89,12.64,0,0.0,13.89,,,,,,-0.09,-5.0,3
0,60.0,101966385#3_0,101966385#3,0,13.89,13.89,0,0.0,13.89,,,,,,0.0,0.0,0
0,60.0,101966385#4_0,101966385#4,0,13.89,15.06,0,0.0,13.89,,,,,,-2.62,-5.0,8
0,60.0,101966393#0_0,101966393#0,1,14.2,16.11,0,0.04,13.89,,,,,,0.24,-1.29,0
0,60.0,101966393#1_0,101966393#1,0,13.89,16.15,0,0.0,13.89,,,,,,-0.12,-1.31,0
0,60.0,101966393#2_0,101966393#2,0,13.89,15.9,0,0.0,13.89,103.86,102.23,-2.16,13.53,11.61,-1.78,-5.0,6
0,60.0,101966397#1_0,101966397#1,0,13.89,13.89,0,0.0,13.89,112.4,88.96,8.15,12.04,8.1,-1.53,-5.0,10
