lane_id,edge_id,tls_id
-101757271#1_0,-101757271#1,cluster_1189036595_13298747741
-101757271#1_0,-101757271#1,cluster_1189036595_13298747741
1173597755#1_0,1173597755#1,cluster_1189036595_13298747741
1173597755#1_0,1173597755#1,cluster_1189036595_13298747741
218918472#6_0,218918472#6,cluster_1189036595_13298747741
-101757312#0_0,-101757312#0,cluster_1186025344_13298747727_13298747728_13298747738_#3more
-101757312#0_0,-101757312#0,cluster_1186025344_13298747727_13298747728_13298747738_#3more
-101757312#0_0,-101757312#0,cluster_1186025344_13298747727_13298747728_13298747738_#3more
-101757312#0_0,-101757312#0,cluster_1186025344_13298747727_13298747728_13298747738_#3more
-102688629#2_0,-102688629#2,cluster_1186025344_13298747727_13298747728_13298747738_#3more
-102688629#2_0,-102688629#2,cluster_1186025344_13298747727_13298747728_13298747738_#3more
-102688629#2_0,-102688629#2,cluster_1186025344_13298747727_13298747728_13298747738_#3more
-102688629#2_0,-102688629#2,cluster_1186025344_13298747727_13298747728_13298747738_#3more
-102690995#1_0,-102690995#1,cluster_1186025344_13298747727_13298747728_13298747738_#3more
-102690995#1_0,-102690995#1,cluster_1186025344_13298747727_13298747728_13298747738_#3more
-102690995#1_0,-102690995#1,cluster_1186025344_13298747727_13298747728_13298747738_#3more
-102690995#1_0,-102690995#1,cluster_1186025344_13298747727_13298747728_13298747738_#3more
1087118362#11_0,1087118362#11,cluster_1186025344_13298747727_13298747728_13298747738_#3more
1087118362#11_0,1087118362#11,cluster_1186025344_13298747727_13298747728_13298747738_#3more
1087118362#11_0,1087118362#11,cluster_1186025344_13298747727_13298747728_13298747738_#3more
1087118362#11_0,1087118362#11,cluster_1186025344_13298747727_13298747728_13298747738_#3more
1312946260_0,1312946260,cluster_1186025344_13298747727_13298747728_13298747738_#3more
1312946260_0,1312946260,cluster_1186025344_13298747727_13298747728_13298747738_#3more
1312946260_0,1312946260,cluster_1186025344_13298747727_13298747728_13298747738_#3more
1312946260_0,1312946260,cluster_1186025344_13298747727_13298747728_13298747738_#3more
218918469#5_0,218918469#5,cluster_1186025344_13298747727_13298747728_13298747738_#3more
218918472#0_0,218918472#0,cluster_1186025344_13298747727_13298747728_13298747738_#3more
219372550#13_0,219372550#13,cluster_1186025344_13298747727_13298747728_13298747738_#3more
-101972897#2_0,-101972897#2,cluster_1190128285_13300645523_13300645535
-101972897#2_0,-101972897#2,cluster_1190128285_13300645523_13300645535
-101972897#2_0,-101972897#2,cluster_1190128285_13300645523_13300645535
-1087118361#12_0,-1087118361#12,cluster_1190128285_13300645523_13300645535
-1087118361#12_0,-1087118361#12,cluster_1190128285_13300645523_13300645535
-1087118361#12_0,-1087118361#12,cluster_1190128285_13300645523_13300645535
1087118361#11_0,1087118361#11,cluster_1190128285_13300645523_13300645535
1087118361#11_0,1087118361#11,cluster_1190128285_13300645523_13300645535
1087118361#11_0,1087118361#11,cluster_1190128285_13300645523_13300645535
190903476#0_0,190903476#0,cluster_1190128285_13300645523_13300645535
219055485#6_0,219055485#6,cluster_1190128285_13300645523_13300645535
-101972928#1_0,-101972928#1,cluster_10917990606_663844223
-101972928#1_0,-101972928#1,cluster_10917990606_663844223
-101972928#1_0,-101972928#1,cluster_10917990606_663844223
-101972928#1_0,-101972928#1,cluster_10917990606_663844223
-1087118361#3_0,-1087118361#3,cluster_10917990606_663844223
-1087118361#3_0,-1087118361#3,cluster_10917990606_663844223
-1087118361#3_0,-1087118361#3,cluster_10917990606_663844223
-1087118361#3_0,-1087118361#3,cluster_10917990606_663844223
104043544#8_0,104043544#8,cluster_10917990606_663844223
104043544#8_0,104043544#8,cluster_10917990606_663844223
104043544#8_0,104043544#8,cluster_10917990606_663844223
104043544#8_0,104043544#8,cluster_10917990606_663844223
1087118361#2_0,1087118361#2,cluster_10917990606_663844223
1087118361#2_0,1087118361#2,cluster_10917990606_663844223
1087118361#2_0,1087118361#2,cluster_10917990606_663844223
1087118361#2_0,1087118361#2,cluster_10917990606_663844223
1275565110#3_0,1275565110#3,cluster_10917990606_663844223
219055485#3_0,219055485#3,cluster_10917990606_663844223
-101972955#0_0,-101972955#0,cluster_1177212073_13300645524_664471560
-101972955#0_0,-101972955#0,cluster_1177212073_13300645524_664471560
-101972955#0_0,-101972955#0,cluster_1177212073_13300645524_664471560
-101972955#0_0,-101972955#0,cluster_1177212073_13300645524_664471560
-1087118361#11_0,-1087118361#11,cluster_1177212073_13300645524_664471560
-1087118361#11_0,-1087118361#11,cluster_1177212073_13300645524_664471560
-1087118361#11_0,-1087118361#11,cluster_1177212073_13300645524_664471560
-1087118361#11_0,-1087118361#11,cluster_1177212073_13300645524_664471560
103082313#1_0,103082313#1,cluster_1177212073_13300645524_664471560
103082313#1_0,103082313#1,cluster_1177212073_13300645524_664471560
103082313#1_0,103082313#1,cluster_1177212073_13300645524_664471560
103082313#1_0,103082313#1,cluster_1177212073_13300645524_664471560
1087118361#9_0,1087118361#9,cluster_1177212073_13300645524_664471560
1087118361#9_0,1087118361#9,cluster_1177212073_13300645524_664471560
1087118361#9_0,1087118361#9,cluster_1177212073_13300645524_664471560
1087118361#9_0,1087118361#9,cluster_1177212073_13300645524_664471560
219055485#5_0,219055485#5,cluster_1177212073_13300645524_664471560
-102688629#6_0,-102688629#6,cluster_13298747751_6469124180
-102688629#6_0,-102688629#6,cluster_13298747751_6469124180
-102688629#6_0,-102688629#6,cluster_13298747751_6469124180
-689580383#1_0,-689580383#1,cluster_13298747751_6469124180
-689580383#1_0,-689580383#1,cluster_13298747751_6469124180
-689580383#1_0,-689580383#1,cluster_13298747751_6469124180
102688629#5_0,102688629#5,cluster_13298747751_6469124180
102688629#5_0,102688629#5,cluster_13298747751_6469124180
102688629#5_0,102688629#5,cluster_13298747751_6469124180
218918469#3_0,218918469#3,cluster_13298747751_6469124180
-102690995#2_0,-102690995#2,13298747752
102690995#1_0,102690995#1,13298747752
218918469#4_0,218918469#4,13298747752
-1087118361#0_0,-1087118361#0,cluster_13300645520_13300645530_663844204
-1087118361#0_0,-1087118361#0,cluster_13300645520_13300645530_663844204
-1087118361#0_0,-1087118361#0,cluster_13300645520_13300645530_663844204
1126633511#6_0,1126633511#6,cluster_13300645520_13300645530_663844204
1126633511#6_0,1126633511#6,cluster_13300645520_13300645530_663844204
1126633511#6_0,1126633511#6,cluster_13300645520_13300645530_663844204
1275565110#5_0,1275565110#5,cluster_13300645520_13300645530_663844204
219055485#0_0,219055485#0,cluster_13300645520_13300645530_663844204
-1087118361#1_0,-1087118361#1,13300645526
1087118361#0_0,1087118361#0,13300645526
219055485#1_0,219055485#1,13300645526
-1087118361#2_0,-1087118361#2,cluster_13908994425_13908994429_13908994430
-1087118361#2_0,-1087118361#2,cluster_13908994425_13908994429_13908994430
-1087118361#2_0,-1087118361#2,cluster_13908994425_13908994429_13908994430
1087118361#1_0,1087118361#1,cluster_13908994425_13908994429_13908994430
1087118361#1_0,1087118361#1,cluster_13908994425_13908994429_13908994430
1087118361#1_0,1087118361#1,cluster_13908994425_13908994429_13908994430
1275565110#4_0,1275565110#4,cluster_13908994425_13908994429_13908994430
1526012118#0_0,1526012118#0,cluster_13908994425_13908994429_13908994430
1526012118#0_0,1526012118#0,cluster_13908994425_13908994429_13908994430
1526012118#0_0,1526012118#0,cluster_13908994425_13908994429_13908994430
219055485#2_0,219055485#2,cluster_13908994425_13908994429_13908994430
-1087118361#4_0,-1087118361#4,13300645527
1087118361#3_0,1087118361#3,13300645527
1275565110#2_0,1275565110#2,13300645527
-1087118361#6_0,-1087118361#6,13300645529
1087118361#5_0,1087118361#5,13300645529
1275565110#1_0,1275565110#1,13300645529
-1087118361#8_0,-1087118361#8,cluster_1177211838_13300645525_13300645528
-1087118361#8_0,-1087118361#8,cluster_1177211838_13300645525_13300645528
-1087118361#8_0,-1087118361#8,cluster_1177211838_13300645525_13300645528
101972912#1_0,101972912#1,cluster_1177211838_13300645525_13300645528
101972912#1_0,101972912#1,cluster_1177211838_13300645525_13300645528
101972912#1_0,101972912#1,cluster_1177211838_13300645525_13300645528
1087118361#6_0,1087118361#6,cluster_1177211838_13300645525_13300645528
1087118361#6_0,1087118361#6,cluster_1177211838_13300645525_13300645528
1087118361#6_0,1087118361#6,cluster_1177211838_13300645525_13300645528
190903476#1_0,190903476#1,cluster_1177211838_13300645525_13300645528
219055485#4_0,219055485#4,cluster_1177211838_13300645525_13300645528
-52097266#0_0,-52097266#0,663940642
-52097266#0_0,-52097266#0,663940642
1173597755#9_0,1173597755#9,663940642
1173597755#9_0,1173597755#9,663940642
219372550#0_0,219372550#0,663940642
-659390163#2_0,-659390163#2,cluster_1174832977_4137940796
412339544#0_0,412339544#0,cluster_1174832977_4137940796
659390163#0_0,659390163#0,cluster_1174832977_4137940796
92642074#2_0,92642074#2,cluster_1174832977_4137940796
101757303#0_0,101757303#0,cluster_1174832725_13298747729_13298747740
101757303#0_0,101757303#0,cluster_1174832725_13298747729_13298747740
101757303#0_0,101757303#0,cluster_1174832725_13298747729_13298747740
101966442#3_0,101966442#3,cluster_1174832725_13298747729_13298747740
101966442#3_0,101966442#3,cluster_1174832725_13298747729_13298747740
101966442#3_0,101966442#3,cluster_1174832725_13298747729_13298747740
1173597755#0_0,1173597755#0,cluster_1174832725_13298747729_13298747740
1173597755#0_0,1173597755#0,cluster_1174832725_13298747729_13298747740
1173597755#0_0,1173597755#0,cluster_1174832725_13298747729_13298747740
218918472#5_0,218918472#5,cluster_1174832725_13298747729_13298747740
219372550#8_0,219372550#8,cluster_1174832725_13298747729_13298747740
101966416#1_0,101966416#1,cluster_11502623497_1177160337
101966416#1_0,101966416#1,cluster_11502623497_1177160337
1312946259#3_0,1312946259#3,cluster_11502623497_1177160337
1312946259#3_0,1312946259#3,cluster_11502623497_1177160337
219372550#12_0,219372550#12,cluster_11502623497_1177160337
102688629#6_0,102688629#6,cluster_13298747747_13298747748_13298747749_13298747755_#2more
102688629#6_0,102688629#6,cluster_13298747747_13298747748_13298747749_13298747755_#2more
102688629#6_0,102688629#6,cluster_13298747747_13298747748_13298747749_13298747755_#2more
102691001#1_0,102691001#1,cluster_13298747747_13298747748_13298747749_13298747755_#2more
102691001#1_0,102691001#1,cluster_13298747747_13298747748_13298747749_13298747755_#2more
