time,vehicle_id,vehicle_type,lane_id,speed_ms,speed_limit_ms,pct_over
12.5,19,twowheeler,1251129391_0,12.23,11.11,10.1
13.0,19,twowheeler,1251129391_0,12.83,11.11,15.5
16.5,19,twowheeler,1251129391_0,12.4,11.11,11.6
17.5,13,twowheeler,:1177160399_0_0,7.4,6.68,10.7
17.5,19,twowheeler,:cluster_10279701141_664472702_0_0,12.3,11.11,10.7
18.0,13,twowheeler,:1177160399_0_0,7.45,6.68,11.5
18.5,19,twowheeler,1288011209_0,12.49,11.11,12.4
19.0,19,twowheeler,1288011209_0,12.54,11.11,12.9
19.0,31,twowheeler,1251129390#2_1,12.61,11.11,13.5
19.5,31,twowheeler,1251129390#2_1,12.43,11.11,11.9
20.0,19,twowheeler,1288011209_0,12.49,11.11,12.4
21.0,19,twowheeler,1288011209_0,12.47,11.11,12.2
21.0,31,twowheeler,1251129390#3_1,12.79,11.11,15.1
21.0,33,twowheeler,:cluster_1177160434_1177161050_5_0,13.44,11.79,14.0
21.5,13,twowheeler,102690982#1_0,12.43,11.11,11.9
21.5,19,twowheeler,1288011209_0,12.78,11.11,15.0
21.5,31,twowheeler,1251129390#3_1,12.57,11.11,13.1
21.5,33,twowheeler,:cluster_1177160434_1177161050_5_0,13.49,11.79,14.5
22.5,31,twowheeler,1251129390#3_1,12.68,11.11,14.1
22.5,33,twowheeler,:cluster_1177160434_1177161050_5_0,13.21,11.79,12.1
23.0,13,twowheeler,102690982#2_0,12.4,11.11,11.6
23.0,33,twowheeler,:cluster_1177160434_1177161050_5_0,13.78,11.79,16.9
23.5,19,twowheeler,1288011209_0,12.79,11.11,15.1
23.5,31,twowheeler,1251129390#3_1,12.53,11.11,12.8
23.5,37,twowheeler,135461188#3_0,12.32,11.11,10.8
24.0,31,twowheeler,1251129390#3_1,12.33,11.11,11.0
24.0,37,twowheeler,135461188#3_0,12.54,11.11,12.9
24.5,33,twowheeler,101966393#0_0,16.04,13.89,15.5
25.0,33,twowheeler,101966393#0_0,15.39,13.89,10.8
25.0,37,twowheeler,135461188#3_0,12.93,11.11,16.4
25.5,13,twowheeler,102690982#2_0,12.24,11.11,10.2
25.5,37,twowheeler,135461188#3_0,12.58,11.11,13.3
